brand;link;image;name;dimensions;os;storage
micromax;https://www.gsmarena.com/micromax_x370-3868.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-X370.jpg;Micromax X370;10.9mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x226+-3870.php;https://fdn2.gsmarena.com/vv/bigpic/micromax-X226-plus.jpg;Micromax X226+;95g, 14.5mm thickness;Feature phone;microSD slot
micromax;https://www.gsmarena.com/micromax_x225-3321.php;https://fdn2.gsmarena.com/vv/bigpic/x225.jpg;Micromax X225;65 g;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x235-3322.php;https://fdn2.gsmarena.com/vv/bigpic/x235.jpg;Micromax X235;85g, 13.8mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x250-3323.php;https://fdn2.gsmarena.com/vv/bigpic/x250.jpg;Micromax X250;76g, 15.2mm thickness;Feature phone;microSDHC slot
micromax;https://www.gsmarena.com/micromax_x260-3324.php;https://fdn2.gsmarena.com/vv/bigpic/x260.jpg;Micromax X260;75g, 15.2mm thickness;Feature phone;microSD slot
micromax;https://www.gsmarena.com/micromax_x360-3325.php;https://fdn2.gsmarena.com/vv/bigpic/x360.jpg;Micromax X360;104g, 12.5mm thickness;Feature phone;microSDHC slot
neonode;https://www.gsmarena.com/neonode_n2-1903.php;https://fdn2.gsmarena.com/vv/bigpic/neonode-n2.gif;Neonode N2;70g, 14.7mm thickness;Feature phone;miniSD slot
neonode;https://www.gsmarena.com/neonode_n1m-1137.php;https://fdn2.gsmarena.com/vv/bigpic/neonode-n1m.gif;Neonode N1m;94g, 21mm thickness;Microsoft Windows CE.NET;SD slot
neonode;https://www.gsmarena.com/neonode_n1-391.php;https://fdn2.gsmarena.com/vv/bigpic/nnn1.gif;Neonode N1;86g, 21mm thickness;Microsoft Windows CE.NET;16MB RAM storage, SD/MMC slot
palm;https://www.gsmarena.com/palm_palm-9290.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pepito1.jpg;Palm Palm;62.5g, 7.4mm thickness;Android 8.1;32GB storage, no card slot
palm;https://www.gsmarena.com/palm_pre_2-3559.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg;Palm Pre 2;145g, 16.9mm thickness;HP webOS 2.0;16GB storage, no card slot
palm;https://www.gsmarena.com/palm_pre_2_cdma-3589.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre-2-ofic.jpg;Palm Pre 2 CDMA;145g, 16.9mm thickness;HP webOS 2.0;16GB storage, no card slot
palm;https://www.gsmarena.com/palm_pixi_plus-3250.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pixi-plus-ofic.jpg;Palm Pixi Plus;92.5g, 10.9mm thickness;Palm webOS;8GB storage, no card slot
palm;https://www.gsmarena.com/palm_pre_plus-3249.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pre-plus-ofic.jpg;Palm Pre Plus;138g, 16.9mm thickness;Palm webOS 1.3.5;16GB storage, no card slot
palm;https://www.gsmarena.com/palm_pixi-2937.php;https://fdn2.gsmarena.com/vv/bigpic/palm-pixi.jpg;Palm Pixi;99.5g, 10.9mm thickness;Palm webOS;8GB storage, no card slot
palm;https://www.gsmarena.com/palm_treo_180-623.php;https://fdn2.gsmarena.com/vv/bigpic/hst180.gif;Palm Treo 180;147g, 21mm thickness;Palm 3.5.2H;16MB storage, no card slot
qmobile;https://www.gsmarena.com/qmobile_noir_a1-8757.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_A1.jpg;QMobile Noir A1;182g, 8.3mm thickness;Android 7, Amigo OS 4;64GB storage, microSDXC
qmobile;https://www.gsmarena.com/qmobile_noir_e2-8758.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_Noir_E2-.jpg;QMobile Noir E2;9.1mm thickness;Android 7.0;16GB storage, microSDXC
qmobile;https://www.gsmarena.com/qmobile_j7_pro-8759.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_J7_Pro.jpg;QMobile J7 Pro;175g, 9.2mm thickness;Android 6.0;32GB storage, microSDXC
qmobile;https://www.gsmarena.com/qmobile_m6-8760.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6.jpg;QMobile M6;180g, 8.2mm thickness;Android 6.0, Amigo 3.5;64GB storage, microSDXC
qmobile;https://www.gsmarena.com/qmobile_m6_lite-8761.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_M6_Lite.jpg;QMobile M6 Lite;184g, 10mm thickness;Android 6.0;16GB storage, microSDXC
qmobile;https://www.gsmarena.com/qmobile_king_kong_max-8762.php;https://fdn2.gsmarena.com/vv/bigpic/QMobile_KING_KONG_MAX.jpg;QMobile King Kong Max;162g, 8.2mm thickness;Android 6.0;32GB storage, microSDXC
qmobile;https://www.gsmarena.com/qmobile_noir_lt600-7335.php;https://fdn2.gsmarena.com/vv/bigpic/qmobile-lt600.jpg;QMobile Noir LT600;6.9mm thickness;Android 4.4.2;8GB storage, microSDHC
